Övning (Svenska);Övning (English);Video-länk;Video-typ
Hantel farmer's walk;Dumbbell farmer's walk;https://www.youtube.com/shorts/Ozp9nI_w4xo?feature=share;
Hantel jumping jacks;Dumbbell jumping jacks;https://www.youtube.com/shorts/F16ZAtARwxU?feature=share;
Hantel lunges på plats;Dumbbell lunges;https://www.youtube.com/shorts/mJilHWIBWO8?feature=share;
Hantel plank rows;Dumbbell plank rows;https://www.youtube.com/shorts/GfptgUS4QRA?feature=share;
Hantel push press;Dumbbell push press;https://www.youtube.com/shorts/EYOumY8pY2U?feature=share;
Hantel russian twists;Dumbbell russian twists;https://www.youtube.com/shorts/MKfv0WiTeEQ?feature=share;
Hantel squats;Dumbbell squats;https://www.youtube.com/shorts/LvaglZbet6A?feature=share;
Hantel thrusters;Dumbbell thrusters;https://www.youtube.com/shorts/5p7xFs_Hld4?feature=share;
Hantel triceps extensions;Dumbbell triceps extensions;https://www.youtube.com/shorts/b_r_LW4HEcM?feature=share;
Höftlyft;Glute Bridge;https://www.youtube.com/shorts/LORVjN2bg5o?feature=share;
Höftlyft med skivstång;Barbell Hip Thrust;https://www.youtube.com/shorts/96uDbymTaHM?feature=share;
Incline bänkpress;Incline Bench Press;https://www.youtube.com/watch?v=98HWfiRonkE;shorts
Kabel glute kickback;Cable Glute Kickback;https://www.youtube.com/shorts/n-cgsNePyFo?feature=share;
Kabel pull-through;Cable Pull-Through;https://www.youtube.com/shorts/SbquVKT_2jg?feature=share;
Kabelflyes;Cable Flyes;https://www.youtube.com/shorts/I-Ue34qLxc4?feature=share;
Kabelflyes stående;Standing Cable Fly;https://www.youtube.com/shorts/I-Ue34qLxc4?feature=share;
Kabelkryss (högt till lågt);Cable Crossover (High to Low);https://www.youtube.com/shorts/5SrkaIbDth4?feature=share;
Kabelkryss (lågt till högt);Cable Crossover (Low to High);https://www.youtube.com/shorts/Lw2nYqhn0Ic?feature=share;
Kettlebell swing;Kettlebell Swing;https://www.youtube.com/shorts/moK1eINw7NY?feature=share;
Knäböj;Squat;https://www.youtube.com/watch?v=dW3zj79xfrc;shorts
Koncentrationscurl;Concentration Curl;https://www.youtube.com/shorts/EjUnEEfTSEY?feature=share;
Latdrag;Lat Pulldown;https://www.youtube.com/watch?v=Vc1O9opYR8M;shorts
Latsdrag (brett grepp);Lat Pulldown (Wide Grip);https://www.youtube.com/shorts/7Cjc_aXoQ_I?feature=share;
Latsdrag (smalt/neutralt grepp);Lat Pulldown (Close/Neutral Grip);https://www.youtube.com/shorts/7Cjc_aXoQ_I?feature=share;
Löpband;Treadmill;https://www.youtube.com/shorts/m0FyBkKrCKI?feature=share;
Marklyft;Deadlift;https://www.youtube.com/watch?v=K4sB7gD1GJE;shorts
Omvänd crunch;Reverse Crunch;https://www.youtube.com/shorts/ZyE4r7wiI6w?feature=share;
Omvänd curl EZ-stång;Reverse Curl (EZ-Bar);https://www.youtube.com/shorts/4biCTQej6RQ?feature=share;
Omvänd handled curl;Barbell Reverse Wrist Curl;https://www.youtube.com/shorts/NcDp9dkWr7g?feature=share;
Pendlay-rodd;Pendlay Row;https://www.youtube.com/shorts/a2KIA2305OM?feature=share;
Plankan;Plank;https://www.youtube.com/watch?v=xe2MXatLTUw;shorts
Power clean;Power Clean;https://www.youtube.com/shorts/Btkay7PP8Kk?feature=share;
Preacher curl;Preacher Curl;https://www.youtube.com/shorts/7ixqAPO6JvU?feature=share;
Raka armar latsdrag;Straight-Arm Pulldown;https://www.youtube.com/shorts/hAMcfubonDc?feature=share;
Reverse flyes;Reverse Fly;https://www.youtube.com/watch?v=LsT-bR_zxLo;shorts
Rodd framåtlutad med skivstång;Barbell Bent-Over Row;https://www.youtube.com/shorts/phVtqawIgbk?feature=share;
Rodd maskin;Machine Row;https://www.youtube.com/shorts/-q4OkPSL2AA?feature=share;
Rodd med hantlar;Dumbbell Row;https://www.youtube.com/watch?v=3yVPoAC-8Ok;shorts
Rodd med skivstång;Barbell Row;https://www.youtube.com/watch?v=7SzAgsAVzMo;shorts
Roddmaskin;Rowing Machine;https://www.youtube.com/shorts/A-35F9TR0OA?feature=share;
Rumänsk marklyft;Romanian Deadlift;https://www.youtube.com/watch?v=Wou9zVQrAfs;shorts
Ryck;Snatch;https://www.youtube.com/shorts/G0IAcNNE7yc?feature=share;
Rygglyft;Back Extension;https://www.youtube.com/watch?v=waqxM9HvqWg;shorts
Rysk twist;Russian Twist;https://www.youtube.com/shorts/aRUMRbl7KS4?feature=share;
Sidan lyft;Lateral Raise;https://www.youtube.com/shorts/Kl3LEzQ5Zqs?feature=share;
Sidan lyft kabel;Cable Lateral Raise;https://www.youtube.com/shorts/9ilIKuy6B0g?feature=share;
Sidlyft;Lateral Raises;https://www.youtube.com/shorts/Kl3LEzQ5Zqs?feature=share;
Sidplankan;Side Plank;https://www.youtube.com/shorts/BtM0a9x1F5o?feature=share;
